"id","Intervention","Measure","z"
"xzz37","Positive Information","BAT",0.14386751
"xzz37","Positive Information","FBQ",0.084044172
"ftn38","Non-Anxious Modelling","BAT",0.582052116
"ftn38","Non-Anxious Modelling","FBQ",0.607892311
"mmr39","Non-Anxious Modelling","BAT",-0.50145891
"mmr39","Non-Anxious Modelling","FBQ",-0.177879898
"bjq40","Non-Anxious Modelling","BAT",0.102439147
"bjq40","Non-Anxious Modelling","FBQ",-0.352495944
"jfk41","Non-Anxious Modelling","BAT",0.582052116
"jfk41","Non-Anxious Modelling","FBQ",0.258660218
"oym42","Non-Anxious Modelling","BAT",0.03232961
"oym42","Non-Anxious Modelling","FBQ",-0.614420014
"xnh43","Non-Anxious Modelling","BAT",-0.235361349
"xnh43","Non-Anxious Modelling","FBQ",0.345968241
"usn44","Non-Anxious Modelling","BAT",0.336668736
"usn44","Non-Anxious Modelling","FBQ",0.695200334
"lsx45","Non-Anxious Modelling","BAT",-0.525359888
"lsx45","Non-Anxious Modelling","FBQ",0.782508357
"aqf46","Non-Anxious Modelling","BAT",0.260185605
"aqf46","Non-Anxious Modelling","FBQ",1.044432427
"ydg47","Non-Anxious Modelling","BAT",-2.388042813
"ydg47","Non-Anxious Modelling","FBQ",-0.265187921
"gyr48","Non-Anxious Modelling","BAT",-2.209582173
"gyr48","Non-Anxious Modelling","FBQ",0.258660218
"ifa49","Non-Anxious Modelling","BAT",-3.430125475
"ifa49","Non-Anxious Modelling","FBQ",0.607892311
"rgc50","Non-Anxious Modelling","BAT",-1.71244182
"rgc50","Non-Anxious Modelling","FBQ",-0.265187921
"zze51","Non-Anxious Modelling","BAT",0.582052116
"zze51","Non-Anxious Modelling","FBQ",0.433276265
"eau52","Non-Anxious Modelling","BAT",0.241064822
"eau52","Non-Anxious Modelling","FBQ",-0.003263851
"cqy53","Non-Anxious Modelling","BAT",0.118373133
"cqy53","Non-Anxious Modelling","FBQ",0.084044172
"abn54","Non-Anxious Modelling","BAT",0.285679982
"abn54","Non-Anxious Modelling","FBQ",0.782508357
"nkj55","Non-Anxious Modelling","BAT",-0.026626137
"nkj55","Non-Anxious Modelling","FBQ",0.345968241
"iwd56","Non-Anxious Modelling","BAT",-0.426569177
"iwd56","Non-Anxious Modelling","FBQ",-1.749424315
"kyw57","Non-Anxious Modelling","BAT",0.258592207
"kyw57","Non-Anxious Modelling","FBQ",-0.090571875
"wkh58","Non-Anxious Modelling","BAT",0.312767758
"wkh58","Non-Anxious Modelling","FBQ",0.957124404
"wad59","Non-Anxious Modelling","BAT",-0.185965993
"wad59","Non-Anxious Modelling","FBQ",0.433276265
"ssc60","Non-Anxious Modelling","BAT",0.582052116
"ssc60","Non-Anxious Modelling","FBQ",0.869816381
"npp61","Non-Anxious Modelling","BAT",0.212383648
"npp61","Non-Anxious Modelling","FBQ",0.607892311
"zwi62","Non-Anxious Modelling","BAT",-3.049303218
"zwi62","Non-Anxious Modelling","FBQ",0.695200334
"wwe63","Non-Anxious Modelling","BAT",-0.37876722
"wwe63","Non-Anxious Modelling","FBQ",-0.78903606
"lvq64","Non-Anxious Modelling","BAT",-0.048933717
"lvq64","Non-Anxious Modelling","FBQ",0.957124404
"dix65","Non-Anxious Modelling","BAT",-0.206680175
"dix65","Non-Anxious Modelling","FBQ",-0.614420014
"qds66","Non-Anxious Modelling","BAT",0.330295142
"qds66","Non-Anxious Modelling","FBQ",-0.614420014
"xwf67","Non-Anxious Modelling","BAT",0.191669467
"xwf67","Non-Anxious Modelling","FBQ",0.520584288
"ojg68","Non-Anxious Modelling","BAT",0.140680713
"ojg68","Non-Anxious Modelling","FBQ",-0.090571875
"jla69","Non-Anxious Modelling","BAT",0.201229858
"jla69","Non-Anxious Modelling","FBQ",1.044432427
"vqp70","Non-Anxious Modelling","BAT",0.19963646
"vqp70","Non-Anxious Modelling","FBQ",-0.614420014
"qiy71","Non-Anxious Modelling","BAT",0.22194404
"qiy71","Non-Anxious Modelling","FBQ",0.084044172
"bbo72","Non-Anxious Modelling","BAT",-1.565849152
"bbo72","Non-Anxious Modelling","FBQ",-0.003263851
"xcu73","No Intervention","BAT",0.582052116
"xcu73","No Intervention","FBQ",-0.177879898
"wjp74","No Intervention","BAT",0.411558469
"wjp74","No Intervention","FBQ",0.607892311
"ysc75","No Intervention","BAT",0.496008593
"ysc75","No Intervention","FBQ",0.695200334
"tld76","No Intervention","BAT",0.58842571
"tld76","No Intervention","FBQ",0.171352195
"swn77","No Intervention","BAT",0.467327419
"swn77","No Intervention","FBQ",1.830204636
"nvv78","No Intervention","BAT",0.604359696
"nvv78","No Intervention","FBQ",0.869816381
"dsl79","No Intervention","BAT",0.414745266
"dsl79","No Intervention","FBQ",0.520584288
"qqs80","No Intervention","BAT",0.511942579
"qqs80","No Intervention","FBQ",0.695200334
"jtg81","No Intervention","BAT",0.564524731
"jtg81","No Intervention","FBQ",0.084044172
"mfk82","No Intervention","BAT",0.567711529
"mfk82","No Intervention","FBQ",1.044432427
"ngs83","No Intervention","BAT",0.497601992
"ngs83","No Intervention","FBQ",0.258660218
"ryr84","No Intervention","BAT",4.772690346
"ryr84","No Intervention","FBQ",0.520584288
"ziq85","No Intervention","BAT",0.56611813
"ziq85","No Intervention","FBQ",0.258660218
"iha86","No Intervention","BAT",0.389250889
"iha86","No Intervention","FBQ",0.695200334
"fdg87","No Intervention","BAT",0.582052116
"fdg87","No Intervention","FBQ",0.258660218
"gkf88","No Intervention","BAT",0.738205175
"gkf88","No Intervention","FBQ",1.306356497
"oqu89","No Intervention","BAT",0.53265676
"oqu89","No Intervention","FBQ",0.695200334
"iyd90","No Intervention","BAT",0.545403949
"iyd90","No Intervention","FBQ",0.258660218
"wds91","No Intervention","BAT",0.613920087
"wds91","No Intervention","FBQ",1.39366452
"mpv92","No Intervention","BAT",0.564524731
"mpv92","No Intervention","FBQ",0.695200334
"phn93","No Intervention","BAT",0.664908841
"phn93","No Intervention","FBQ",0.258660218
"qhj94","No Intervention","BAT",0.467327419
"qhj94","No Intervention","FBQ",0.695200334
"vrr95","No Intervention","BAT",0.561337934
"vrr95","No Intervention","FBQ",1.39366452
"kan96","No Intervention","BAT",0.526283166
"kan96","No Intervention","FBQ",1.917512659
"njt97","No Intervention","BAT",0.518316173
"njt97","No Intervention","FBQ",0.695200334
"rwe98","No Intervention","BAT",0.537436956
"rwe98","No Intervention","FBQ",0.695200334
"pso99","No Intervention","BAT",0.535843557
"pso99","No Intervention","FBQ",0.869816381
"iig100","No Intervention","BAT",-2.31315308
"iig100","No Intervention","FBQ",1.044432427
"tux101","No Intervention","BAT",0.480074607
"tux101","No Intervention","FBQ",0.345968241
"jgu102","No Intervention","BAT",0.542217152
"jgu102","No Intervention","FBQ",0.695200334
"gtj103","No Intervention","BAT",0.54381055
"gtj103","No Intervention","FBQ",0.520584288
"qrz104","No Intervention","BAT",0.636227667
"qrz104","No Intervention","FBQ",-0.963652106
"nbr105","No Intervention","BAT",0.578865319
"nbr105","No Intervention","FBQ",1.044432427
"tey106","No Intervention","BAT",0.585238913
"tey106","No Intervention","FBQ",0.520584288
"ixa107","No Intervention","BAT",0.719084392
"ixa107","No Intervention","FBQ",0.520584288
